userName,content
Mario Monterrosa,"Awful app experience no matter what device I use. It's awful on my phone, TV, and tablet. I am unable to view any video in full screen it crashes the app."
minecraft education edition,Perfect I'm so glad that this is a thing now I can watch avatar the last airbender
Natica Strong,Get streaming app for a reasonable price.
Evan L,"Sorry, this video is currently unavailable. Please try again.."
T. Gonz,Errors all the time. THIS IS THE WORST STREAMING APP.
A,"I PAY FOR NO ADS! I GET ADS! I cut cable to get away from commercials, and yet I still get them. I'm going to cancel Paramount+. Edit. Update to the comment left by CBS Interactive. So if I pay for Paramount+ with Showtime, you're telling me I'll STILL see an ad/preview before movies and shows?? This is ridiculous, if a someone pays for the option to not see ads or commercials/previews....THEY SHOULDN'T SEE THEM AT ALL!! This is a huge money grab. I'm still canceling Paramount+."
Donavan Smith,Great shows new and old
Jason Kuretski,The app doesn't work for live events at least 30% of the time. Doesn't matter how many times I clear it's cache or reset it. I pay for the subscription out of convenience but if I have to find streaming elsewhere for live tv this often it really makes me question if the app is even worth the 3 dollars a month I pay.
Daniel Sarioglu,"I don't usually write app reviews, but this one is so frustrating that I had to. The app sucks. It crashes every time I try to go to full screen. As someone watching football games, it's unwatchable unless it's full screen."
Valeria Cruz,Never even opened
Nick,"Some ok stuff to watch but they force unskippable ads (yes, sometimes more than one) for other shows on the service before playing the thing you want. Not cool when I am paying a premium price for the service and capable of browsing and deciding for myself. *EDIT: I don't watch live tv, but the preview ads that run before ""on-demand"" content aren't totally unskippable, I found you have to back out to the menu and select your show again to bypass them. It's still annoying and my rating stands."
Me Notu,"At first it seemed to have a problem with password reset but it seems to have fixed it and Dev was quick to help in comments, ty"
Crystal Rafferty,Love it
Picky Jim,Very glitchy. Buffers repeatedly even with very fast internet. Performance varies between smart tv platforms--LG seems the worst. Can cast from a smartphone to the LG and get better performance than using app directly on the LG. Runs better on Samsung TVs but still get buffering issue. Cycling power and unplugging TV helps but glitchy performance comes back eventually. Searching in a show for a specific scene is poorly designed and it too is very glitchy; hard to control speed & step thru scenes
James McGilley,Samsung Galaxy S23 Plus 5G android 14 UI 6.1. My previous issue was resolved
Patty Allen,"On my Samsung, many times,the paramount screen never switches to users. On my TV, it glitches, and I end up turning it off."
The Pro-Wrestling Encyclopedia,One of my FAVORITE Steaming Apps to use! Use it more than any of the others I have! $11.99 NO ADS AT ALL!!! I absolutely hate ads which is why I stream!
Chris Kinkade,"Update April 2024: same as before, constant errors slow to load. Won't play media if a Bluetooth device is connected on Pixel 8 (new bug as of early April 2024)"
Patricia Steers,Was working great but it always freezes.
Sharon Adams,I love this app! All my favorite shows old and new.
Yasmin,Update: we already cancelled our subscription to get something better i don't like spending my hard earned money on apps that lag and got too many issues App not letting me log in once I got a new phone and I'm using the right password because I have it written so what the heck is going on with the app?
Whatsit Toya,"Good shows and the ads aren't too bad, but what the hell is up with it skipping the last third of the episode on my TV? And not being able to skip to the right moment is just plain stupid. Figure it out. Giving more stars for fast reply. I'll look into it.."
Santino Deluca,"loving the free trial, watching the godfather movies🙏🙏"
James Shelly,"Now, not only do we have to pay our subscription, but now we have to watch 5 minutes of commercials to be able to watch anything. Shame on you Paramount plus, how much more greedy are you going to get"
Matt Anderson,"No option available to go to a standard definition or low quality to save on Mobile Hotspot data for a laptop or TV. Every other streaming service offers this except Paramount+. All video streamed on a laptop, desktop, or TV is HD or HIGHER depending on the quality of the connection. Pretty ridiculous Paramount Plus doesn't offer an option to save data."
bill shumsky,I love the many things to watch.
Z He,This app at the beginning feels somewhat user unfriendly It forces you even if you don't like the movies To pick 3 at the beginning They also play ADS Even though you're paying Monthly for it 🫠
Ronald McClung,"Why IS this? No memory have I of doing this here, moving phone under it. No. PAY here this thing to you? When we were still much younger, 35 cents to go watch movie all day. Only ends of week. Was no Internet long before Al Gore said he invented it. Did LBJ pay Secret Agent Man to get JFK out of his way? Let's go, Brandon. Before Time Tunnel. Star Trek was new, 1st time tv. Paramount had Cinemascope movies in Technicolor. Who knew? You buy leechee nut? Gimme $5, GI."
Gary White,This is a great app. I love it.
Sabraney Davis,Sometimes the app kicks ypu off the screen just goes back
Marsha Merrell,Trying to cancel my Paramount + subscription... to no avail. The App is great! My BFF and I are upgrading together. So I no longer need this app!
Crystal Moore,Great App
Kevin Knox,Does what it's supposed to do and has a decent library of content. (Any & all IPs & films & TV shows that are owned by Paramount Global — formerly known as ViacomCBS).
Rusty Dotson,Great app
Joseph Salama,Great use of available series.
darthspader,Please add the ability to skip to next episode from the current episode. Why does the app have to ask me to rate it over and over and over...... even after I have given a rating!!!!! Please turn that off!!!!!!
jacquelynn smith,"Took some time, but got it started on my Roku."
James Nelson,Worst app developer ever. I could easily have a mental patient make this better to navigate than the way it currently is. Just look at the download section. A-z only no way to sort or God forbid filter. Everything else is the &;@()-@ same. Sorry @$$ app. Buuut I do like paramount. Buuuut this app is the worst thing since communism.
Leelah Leelah,Why am I paying 11 dollars plus tax and still seeing commercials 😐
Daisy Garcia,App doesn't work on my TV. It's always has errors. Have not been able to stream at all on my TV. Not even after uninstalling and reinstalling it. Reached out to customer service and they have not helped me with the issue at all. Horrible and ignorant customer service. It's a shame.
Destiny Estrada,Me and my son love this app. Can watch what I want and so can he on his own profile.
Liquid Harbor,"Sometimes there is streaming issues sometimes there is not. I wrote up Busta Rhymes, Ciara and Missy Elliot for False Advertising. Also The Martinez Brothers have been reported for Rico Racketeering and are not eligible for re-entry as they are Excommunicated from Tribal."
Cherie Smith,Movies is shipping all through the movie
David Leyson,"Excellent content, but app freezes on Fire TV. Runs great on Android."
LINDELL TOLLSTRUP,PARAMOUNT LOGO COMES ON AND THAT'S IT. I'AM NOT PAYING FOR THIS. NOTHING TO RATE. - 3 IS BEING GENEROUS.
Chris Lindsey,A great selction of options!
Tanya Dixon,Excellent
Stephany Lewis,"This is the worst streaming app for any device. It cuts off mid episode/movie with an error code all the time. TV, phone, tablet...IT DOESN'T MATTER. IT'S THE WORST. AND YES... THEY'RE ALL UPDATED."
Lew Germany,Paramount is actually one of the best streaming sites for the price.
Phil Deeds,The overlay for my S22 won't go away after selecting content. This leaves about a quarter of an inch of my screen black. It's really annoying.
John Goulart,A better value than its major competitor.
Count Jonny Sculls,"It's a surprisingly easy streaming service to navigate. These days, so many streaming services that have a massive library of content can often times be somewhat difficult to navigate through and find exactly what you're looking for. Paramount+ seems to have simplified and, at the same time, streamlined that issue. Really digging this platform."
Christopher L. Scott S.R.,Ok
ethan l,"Literally useless. I installed it and it says ""This app is no longer supported."" I'm running this on a Galaxy Z Fold 3 on the latest version of Android. What does it want me to do? Run it on an NSA supercomputer? Easily the worst streaming app on the face of the planet"
DeAndre Henderson,Can't open after recent update.
Mario E. Martinez,Not opening at all
Frank Salvatore,This app has everything from classics to new releases and tv shows from cbs to nickelodeon.
Ray Trujillo,It's nice.
Jericho Brown,Slow running
Annette Beam,"LOVE Watching the shows I want, when I want"
Ryan Moore,"Freezes and lags constantly even on wifi, only upside is it's not as bad as the completely unusable PS4 app. Correction, the Samsung Smart TV app is worse than all of them, how is it possible to have an app this poorly made?"
Sean Lingo,Terrible app. Always freezing and glitching and forces me to watch ads when on my phone.
Richard Gomez,The Best
Spencer Grenfell,For all the money you spend you would assume they would have a working app. Constant black screen with audio and no video. oh and if you do cast good luck getting the visual impaired audio descriptions off (you can't). Asking for help is even more frustrating.
Kisha Taylor,Great !
Ivan Lopez,Best clip of the dayy
SaXx,"This app freezes, crashes, spins but doesn't play (I mean it will eventually but...) so annoying."
Brian Miller,Works great on my phone.
Vikrant Srivastava,Sucks! Keeps playing Ads over and over.
Chris H.,"I didn't think it possible that they made the app even worse. Now I can't stream past a commercial when it freezes completely. I uninstalled and reinstalled, I cleaned the cache and nothing. Shame because they have good content. I don't seem to be alone in having problems, but the developers don't seem to care. Now I know why streaming services lose money - lousy apps. FYI - I know the basic fixes, but there are enough similar complaints that the problem is with the app and not the user."
andres grajales,Always great
CARYBORDERSHART,9/10 times it opens to a black screen
Michael Iriarte,great service no lag on streaming!!
James Miller,Amazing changed my life
Tonya Rockey,All of my favorite shows are on! It's great!
Brett Edelman,"I've had a paramount plus subscription for over a year and use it on several different devices. The shows are very quiet. I have to crank the sound up to hear the show. Then the ads come on, which are extremely loud, and I have to mute it. This has been going on for MONTHS with no fix other than to ""upgrade to premium."" I will not be giving them more money and I warn everyone I talk to. Not worth it."
Mikaila Thomas,Why are downloads so large? I downloaded 1 movie to watch on a flight and it took up almost 20gb while I have movies and entire seasons of shows from Netflix that take up less than 3gb combined
Melrose276,"It's very slow most times and glitches, but so far, it isn't so bad since I have my favorite shows on this platform."
Nathan Waggoner,Needs some new material but overall I like it.
Love Music,This app is hacked
Brett Hunsinger,Why am I paying for a subscription that I can't use bc the app keeps freezing while I'm watching shows and just restarts itself watching on a LG smart TV
Jay R,Star Trek and my local
Andy Stout,"MORE LOWER DECKS! Also this app is trash. They got greedy with too many commercials, now the app doesn't play shows right or at all in some cases. Not sure why this app even cost money now."
Bonnie Jensen,"Decent selection but the thing that's really really aggravating is that I can't edit my ""continue watching"" section. If I decide I don't want to watch all of a movie, I'd like to be able to not finish it, and not have it keep popping up every time I open the app. Literally every other streaming app has this option."
john M,"Over priced, poor working app."
Gladys Felton,Have enjoyed watching shows and movies viewed to date. I have not had any technical issues or anything that would have impeded using this app. I am satisfied with it.
Darrin Tito35,Love it
Aaron Mullendore,Tulsa King!!!
Nichole Wallace,"Good shows, horrible app! It is very persistent about you watching ALL of the ads, even the one at the very end of the show. You can't switch to the next episode unless you either watch the credits and the ad at the end of the credits or scroll through every single season to get to the current one and click on the next episode. Ads freeze. If you stop too soon into an episode, it will switch you back to the previous one so you can watch more ads!"
Bonnie Dodge,Beautiful I love it and I get it with my straight talk $55 monthly service also Walmart Plus
Beverly Fleischer,I cannot watch no movies and I'm signed in. I did the update too.
Jeff,"Ads and more ads. Even if you pay the upgraded price, they still show you ads. Dropped subscription and never coming back."
Mike,Great
LadyGinaBelle,Works great! Supports picture-in-picture. I've been on the app since downloading almost every day and I haven't had any issues.
jordan anderson,I want to cancel my subscription and it tells me to cancel through Google play store and there is no option in the play store so I have been paying for an app that I never use and I can not cancel
Michael Roberts,I like 🙂🙂🙂🙂🙂🙂🙂
reree,paramount+ is such a good money investment.
Coen Slate,"The app just doesn't open on android anymore. With latest update on both Android and the app itself. Simply will not go past the first brand splash when opening the app. Complete garbage, and even before when it did work, the UI was terrible and laggy. If I could rate lower than 1 I would, I don't understand how an app can get worse over time, at least it used to actually work. Sad."
Tabitha Shearer,Absolutely love
Jessica Smith,Great price for the selection. Love the live TV options too!
Coryse and khaden villarouel,Nice and convenient to watch my favorite programming
Cameron Scott,"On top of unskippable ads seemingly placed with the intention of disrupting the show and killing any drama or tension in those scenes, they're now cutting the few series I was keeping the app to watch. No reason to keep it after the last season of lower decks is released. We have everything else on blu ray or dvds so not really sure why these leeches think they deserve almost 200 a year from us all."
Jamie Weiss,Love it
Randall Banfield,"The app won't open, I have to go through an e-mail sent to me in order to watch paramount +. You sent an update, but it still won't open. Maybe it's an android issue."
Nick,"Why do I have to sign up to social media to reach out. Why can't I contact support directly? Give me a number, email, and address or I'll consider this a third refusal"
Ana Yepez,Best shows and movies
Scott Morgan,Keep saying it's having technical difficulties and doesn't work.
Katelind,Only subscribe if you absolutely love it bc canceling is impossible. They make it so hard to cancel that there are listing of different ways to cancel and none of them work.
Sharolyn Wells,Paramount+ has all my favorite shows on it.
Oscar Urenda,Great selection and options for the kids. A lot of good shows and movies for adults. Very good selection of old and new movies and shows.
Rodney Bradshaw,Nice shows
Jerry Raines,Has all my favorite shows and I love it
Infrasoul,The worst streaming app. Navigation bar is always in your face.
Edward Ogletree,I love this app
Nicolas Dunigan,Paramount network is the best thing ever
itali itali,Best app for movie
horace Duhon,Great
John,"The only thing I don't like about the app & it may be just on my phone model. Is that my phone home buttons don't disappear when watching something. Other than that, I have no issues with the app and it works well."
Reveca Ruvalcaba,"It's great but to many error pop-ups,"
Ashton Stennett,"definitely a nice switch from Netflix! paramount has such a solid line up that I couldn't imagine watching all of these, and I'm only talking the movies and shows that interest me! super solid App interface as well! awesome for at the airport thank you!! such a critical amenity that I couldn't imagine that it took me so long to download"
Aubrey Mace,The amount of ads is annoying but overall I enjoy the app
Melinda Sherman,I am really enjoying Paramount+. They have a great selection and some of the top rated movies and TV shows. I never have trouble with the app and it's an affordable option for good programming.
Brad,Ok
Jennifer Jepson,Can't sign in
Mr K (Nob),"Paramount plus won't let me download episodes. It says i need a wifi connection. I don't use wifi, and there isn't an option to toggle this feature on and off. What the hell..."
Nan Larkin,"I'm in the same boat as everyone else. For a year now, I have reached out to the help option. I have no issues with my internet, but they insist that it is the problem. No other streaming service gives me trouble, and I have many. I have multiple times, followed all of their recommendations, but let's face it. This app is terrible. The only reason I gave 2 stars instead of 1 is because of the great selection of shows. I'd love to change it to 5 stars if they would fix all of the bugs."
Game Hunter,Just because you decided to run news at the middle of the end of the Billy Joel concert you ruined a beautiful concert
Michael Thorn,nice
Bass Player,PARAMOUNT IS THE BEST. GREAT SHOWS AND VERY REASONABLE PRICE.
Karem Gh,"Honestly, just quit and give to Netflix or Hulu or Amazon. It's buggy, slow, makes you wanna vomit. We like your shows, your app makes us sick"
Froggy Froggé,Hard to pay bill keep getting run around
Paul Roberts,Easily the worst performing streaming app I use.
Chad Vargo,"This app sucks! Always crashes. Even when hardwired into a 1Gig download speed. And their troubleshooting page is garbage also. Fix the app, fix the buffering, and prevent the constant crashing. We should get refunds for how bad the app has been lately"
cconnelly1,Signed up for a free trial today on my Android phone. Want to cancel now. Have followed every instruction I can find anywhere and there is no apparent way to do this. I have tried for 2 hours.
Suzie Elie,A one
Brent,worst streaming platform I've ever used. the lag is unbelievable
diane Barfield,Streaming was horrible
Juiceman713,Too much ads
Hana Assefa,Awesome!
Cindy Supersad,Signed up today and can't even get into the app
Herlan Westra,App crashes frequently on Fire TV. Many videos cannot be retrieved without crashing.
Regina Farley,WHERE IS JAG complete season 8??????Want to watch ncis pilot episodes season 8 episode 20 and 21.
Susan Milovich,"Could not access what I got the app for, very difficult to navigate."
Richard Lopez,Terrible
denny lopez,Everything I love and more.
Brent Clarke,Good shows and ap works well
Frank Castle,Won't work if you block ad tracking attempts. No good content and the UI is embarrassing for such a large company.
Paul B,"Sick of the bs.. I've had Paramount plus since before it became Paramount plus and it was CBS. Every damn time I turn around there's some other issue with it. I pay for ad-free and I still get ads. I've tried watching ""Why Women Kill"" on my TV and it locks up my TV. I can watch some of the other shows. But for some reason that one doesn't want to play. Customer service don't help. I can see my other reviews that Samsung TVs tend to have issues like I do and they have not fixed it yet."
Johnny Stricklin,Great app!
Justin Taylor,Love video
Kelly,HORRIBLE app enough said
Alex Evans,I get this service for free with walmart+ subscription and I'm thinking it is still overpriced!!
C D Cadogan,There doesn't seem to be any way to link my Walmart account. I've cleared the cache and reinstalled the app 4 times now. Off to complain to Walmart...
NORBERTO LOPEZ-RIVERA,very good app reliable
Jay22,Some movies coast money
Cally,Too many commercials....I didn't know there was a commercial free version. Thank you.
Gloria Goree,"Video issues. For weeks, I couldn't watch anything on the app. The video wouldn't load, and it continued to say video playback issue."
Shuntel Duncan,It's great.
David Dauntless,"I tried to get this app to work with my t-mobile account but it won't.The only premium app that does,instantly connected with t-mobile was pandora premium."
Bxndjdndndn Ndnxnxjx,Very poor app keeps freezing up
Melissa Hibbert,I love this app the best programming looks so good crisp clean very nice
Dad Glass,"I'm still mad about all the realignments. Paramount is Paramount. This has gotten way better, i knew Paramount( believed it ). Thanks Edit3d Again: I cant say how much I 😍 Paramount. Its the only thing I Stream. I dont need anything else. Again Paramount is Paramount!!! Edited 4: idea. With cable companies internet is almost, just on itself, damn near as expensive as the package deals, In my opinion, yes content cost money, dont do a money grab, try to find a way to balance it."
C. Okpala,Paramount should be ashamed of this garbage app. Such a big studio and in over two years using it they have done nothing to fix this trash that we pay for... nonstop glitches on anything you watch.
John Green,"This is the WORST streaming app by far! It constantly crashes. It will let you download episodes, if you can keep it from crashing, but will not allow you to watch those episodes unless you are connected to internet. What's the point of downloading episodes if you have to be connected anyway?!? This app is worthless!!"
Laura Hyllested,Love my app
Robert Jones,It's really something else 😳 ok
chuck,"Great app, easy to use, tons of movies, shows, selections live events. Worth every penny!"
Bridget ouarara,It doesn't matter what type of subscription you have with this channel paramount. They have got the worst service I have ever seen in my life. It's been two weeks since I've been able to see a program because they have technical difficulties. They don't have a problem taking your money when they want it but they sure have issues when it comes to see anything on their stations. I am really disgusted with paramount. They need to pay everybody back. The video playback is terrible
Pat Army,Awesome 👌 👏🏼
Rich Moreno,👍🏼🙌🏽
Dor G,"Brightness keeps intermittently dimming and brightening. It is not my phone screen settings but something in the app when watching any video. Also, sometimes it just doesn't load. Very buggy app."
Damion Hibbert,Love it
Steve Jorgenson,Terrible app. This is the only streaming app I use that's constantly glitching. Insufferable viewing experience
Edward Jones,Lovely thanks I'm very excited about this y
Matthew Demetrakis,Fun
alicia manzanilla,"I love the shows and movies on the app, I just don't give it 5 stars because I would like to have the option for subtitles in other languages, so that the content is accessible to more people, like other apps have."
TAB,"warning, if you open an account it will not allow you to cancel. ive been trying cancel my account for 3 months and just keep getting chatged.."
Jamacia Rudolph,Nothing but love
Jill Wiley,Yall are begging me to rate it so here ya go. I pay to much damn money for this app for it to be this bad every single day 24/7 365. Doesn't matter what I'm connected to...absolutely ridiculous
dovie coleman,Love Paramount
J- bird,"Experience is okay not that bad, not that good."
J.R.,"App is fairly trash. Runs slow, doesn't flip screen layout, crashes often. Content is good, but the overall Paramount plus suite (apple, online, android apps, smart tv apps, etc) need to be overhauled."
Sissy Ricketts,"Update April 2024: I'm still enjoying this app without any problems. I've had no problems with the app for over a year (2019). If it is acting weird, it usually needs updating. The only time the full price customers are getting commercials, etc.. is if they are logged out. And, yes, Criminal Minds is in the app."
Steve Cahall,Downloaded content consistently will not play without an internet connection (like on a plane). The point of downloading is to watch when there's no internet connection.
Amanda Riley,I love having access to all of my favorite shows. Every where I have an account I can watch them no matter where I'm at.
Pablo Torres,"Past week keeps saying technical problems. I tried uninstalling it and re-installing it, but same issue continues to happen."
Bob M.,Great place to watch almost anything.
Audrey Gillis,Great for watching movies easy access to what to watch. Save movies.
eric juniel,Great experience
Wilna Dancy,Love this app and all the amazing options
Making Changes,Everyone you need
Timothy Pike,Sub-par. The app crashes every 10 minutes while trying to watch a show. Continously loads and takes forever to start.
Freddy Wayne,"You guys have a bug in this app. After launching the app, (when smartphone is in Landscape View), it just locks up and stay at the logo splash screen but, (when smartphone is in Portrait View) the app loads completely."
Sara Starling,love it 😺😺😺
WILSON WALES,"Every time I open it, the screen shows error there are technical problems"
A B,Enjoying the movies
Laley Baugh,Skips episodes and forwards through automatically..
Yo Yo,I have this app on 3 devices....by far the worst streamer
Aaron Lachiondo,"I week trial .... subscribe, ""payment declined"" also like they are trying to take money out of the account...that's so weird...and sketchy on their part. I'll stick with my other services."
Tanner Bridwell,Very nice
Douglas Gee,"Application crashes a lot on multiple platforms, Android and on Fire TV."
Nicholas Clark,This is a trash app from a trash company that doesn't bother to make it viewable and makes it virtually impossible to unsubscribe
Luke Ludlow,"This is hands down the most bug plagued app I've ever used. Great content, TERRIBLE execution!"
Felipe Ramos,A lot of good content here
Mr P,"As other reviewers mention: can't watch offline because can't login when offline; buggy to start episodes, or fwd/rev; clunky UI. Less mentioned: downloaded episodes and movies are deleted randomly, especially when remaining offline after closing app; also SELLS personal & private potentially compromising data to 3rd parties (data brokering and mining). Highest tier paid subscription. This app is a FAILURE of a streaming app. I DO NOT RECOMMEND."
Britney Thompson,I have had this app for quite some time. Before they switched to Paramount Plus. It was much better before they switched to Paramount plus now it crashes a lot. I have it on my Smart TV and it's the absolute worst app I have ever used! It takes forever to load and it just shuts off randomly. I also tried to watch local news the other day and I can no longer watch WCCO news in Minnesota. I miss having just regular CBS. Not to mention that I PAY to Have commercial free but yet they slip in ads.
Ashley Hunter,Constantly won't even start saying app isn't responding
Thomas Darnell,Plenty to watch
James howell,Alot of dragging while watching a movie
Autumn Murray,"This app and website does not allow you to update information. It will tell you to go to a site, where if you touch the link, does nothing, or if you go to the website will not allow you to log in or anything else. It says to finish registration and gives a submit button that does nothing."
chris Scholl,The tv version of this app is 100% trash. Constantly freezing. Even with different internet providers and a tv upgrade
D Demon,"Bout to cancel my prescription...every other app ( Netflix, discovery plus, Hulu & Disney) will play with zero problems.. Paramount however plays sound with no video..only watch couple movies before it started happening..so far it's not worth it..movies are great if you can watch them."
richard Burke,"Only app on my tv that freezes during anything I watch , then kicks me off!!! FIX THIS !!! right now definitely not worth the money...again Only app that does this!!"
Marcus Dorsey,Love it
wallered,No help
Marcia Cooper,"Great nature shows! So far.. I joined today. But so far, so good. I really like this biologist. Looking for a very rare leopard in Zanzibar, and h3 found it on a Camara, and was 😭ing. Very emotional. A brilliant biologist Worth the $4.99. !!"
S Lane,Terrible app and no way to delete my Paramount+ profile.
Lea Markum,Every time I try to stream on my fire TV I always have issues. It's b*llsh*t.
Kenneth Robertson (Robertsonsx7),"Won't even work. I keep getting a notification saying "" We are experiencing technical difficulties."" I've tried uninstalling and reinstalling multiple times, with no luck."
Elicia Orr,It's keeps skipping. I re-download and it's still skips
Chelby,"Can never watch a full movie, even an episode, without the app crashing, saying it's having technical difficulties."
Lance Sorensen,Difficult to operate
Kyle Engle,Love it cheap too
Susan Petersen,Love this!
Brian Ludlow,Most Excellent
Kisha Gaulden,I wish it worked better on my ps4. It glitches a lot
Raquel Welborn,Great shows. The app often falls short in returning you to the last episode you've watched. Thats extremely annoying because it won't even have an indication as to which one it was. Your only hope is to write down where you left off.
A M,Awesome
Zach Knight-King,"Worst experience I've had with any streaming app. Constant technical difficulties, random quitting, and constant buffering during live broadcasts. The worst way to watch live soccer. It's a shame that they have the rights to so many good international competitions."
adelynn torres,They have the best shows and movies
Do you smell that?,"Why is it, Every time I want to access my account through the app. It tells me to log in online and then when I go online. And the log in a click on the link and it sends me right back to the app. It's a vicious cycle of back-and-forth. And I can never log into my account So I can update my billing."
William Caswell,App constantly crashes while watching shows. For something I have to pay a considerable amount for I would expect it to perform flawlessly.
Tom Winton,Keeps asking for reviews
Magicstorm Frostfire,"Awful service. I put up with it for 3 years because its the only streaming app we can watch spongebob. Theres glitches, buffers, contsant uninstall/reinstalling for at least an hour before it will KINDA work. The recent update just absolutely will NOT work on any TV we have. I cant even cast from my phone to the TV anymore. Ive tried for a week. Ive reinstalled, tech support, turned it off/on, cleared cache/data. Canceling my subscription. Ill just pirate Spongebob for my sister if i have to."
Mouse Lil,"App sucks, drains phone, keeps glitching not worth the money."
Jamie Harrington,Awesome
Justin Simms,I just love all the war documentaries. Fascinating stuff. Good knowledge to have and important facts worth learning.
Rodrigo Guerrero,"I rate this app a 4 star because I bought it and it's worth it,the app has a lot of good movies and shows like Halo,scream vi you should get it although it costs 💰 money"
Chris H (Vlenfius),App won't launch
Michelle Salazar,Always lagging and I can't get my laptop to sign in via Walmart app
L Sh,Always buffering
Coastie CL (Coastie98),Love it!
Jamie Garton,"I cannot watch on my phone. I'll get sound but no picture. Also, the app does not remember where you left off and often I have to go through episodes to find the last one I watched. Very frustrating!"
Jenica N Gregory,"So far, love it a LOT enjoying comedy Central... 👍"
William Munroe,Garbage app. Paramount just announced the cancellation of Star Trek: Lower Decks. This was one of the truest trek shows. This demonstrates the lack of commitment Paramount has on growing a show that has a following.
Ivan Rocha,awesome
Frank Kroger,Avoid
Richard Ruelas,Trying something new
Karen Smith,Have good. Direct answer and it was easy to follow
christie Banta,Hate watching commercials
James Culp,"STOP REPEATING THE SAME 2 ADS ON LOOP LIKE A BROKEN RECORD ""oH jUsT uPdAtE iT"" I DO NOT HAVE THE REQUIRED SPACE TO UPDATE."
Steven Graham,"Great shows, easy to use"
Neidra “Nei” Pray,🩵🩶🩵🩶 I love this app.. I get 2 binge watch all my shows.. and catch up when I need to
mchmkr,Planning on cancelling once the final season of Lower Decks air. I'll go out of my way to torrent Paramount from here on out.
Dustin Allgood,Sucks when binge watching a show and the skip into only goes part way into the intro. Always have to manually skip ahead and sometimes confuses the app makes me start all over. 2nd rate streaming app
David Mendenall,Aside from being restricted from being able to enjoy the showtime paramount combo I am really enjoying the app... lots of movies to choose from.
patricia wakefield,Love the shows
J. Kriss White,"Horrible problems with Amazon FireTV,"
keith B,"It's been great the past couple yrs,but now it won't play half the shows I wanna watch and keep saying error. Then it just shuts it's self down and closes out. Not very happy at the moment with the app. Get it fixed. I'm adding to my previous review... This date is now 04/12/2024,it's gotten a little bit better but still lags, when I go to ""my list"" and review what I'm watching or looking for new episodes and go back to previous menu it goes back to very beginning of list. Still disappointed"
Justin&katlyn Fox,Not working
Summer Fox Belly,Movies I enjoy and some I can't find on other apps
Just John,I am totally disappointed with paramount! You see more commercials than the movie or series themselves. Not a fan anymore.
Chris Hallam,Glitchy as fuq. How many times do you have to watch the same ad over and over? .. and then restart what you are watching... just to watch ads again to continue where you left off.
Karim Lalji,Tried watching one love and ot keeps freezing. Everything else works. How can you not plan for the launch of a movie and have enough capacity to let your customers watch???
Suzanne Burden,App has been working beautifully! Love it!!!
John Ballard,"A little pricy. A lot that I'd never watch. Showtime stuff should be included instead of extra, or just make it ad supported with no fee."
C Dero,Part of me is upset they're canceling lower decks the other part is glad I can get rid of another streaming service after the last lower decks final season
Bob Anthony,"This app doesn't open when you click on it to open after downloading from the app store. Rather, it pops up with an error message :"" We are currently experiencing some technical difficulties. Please check again later. "" This has been ongoing for months now."
Däve L Välen,"So, NOW the problem of an error # 6000 occurs in which on my tablet (Samsung Tab A) wont play nothing of the apps content. And also on my other devices the app constantly behaves with glitches. Horrible app and disappointing. I will not gonna re-subscribe."
Austin Russell,Love it alot..another...
S,"It's ok, sometimes slow, sometimes crashes, sometimes loses connection."
T,"DONT WASTE YOUR TIME AND MONEY WITH THIS APP!! I SEE I AM NOT THE ONLY PERSON HAVING ISSUES WITH THIS APP. I READ OVER 55 REVIEWS ALL PRETTY MUCH STATING THE SAMETHING THAT THERE ARE WAY TOO MANY ISSUES WITH THIS APP AND PARAMOUNT JUST PUTS OUT A GENERIC TROUBLE SHOOTING SUGGESTION. This is the worst streaming app I have. On all of my devices, it either gives error messages or stops playing when a commercial starts. If I didn't already pay for the year upfront, I would cancel my subscription."
Ethan Richmond (Ethan Richmond Tablet),RokuTV
Syrisa,"Keeps saying it doesn't work on my phone anymore. Also, I'm not sure where to put this, but the version for the TV keeps freezing when watching a show or movie."
Debbie West,So far it is great
Ashley,Definitely could use more updated movies. Same selection for a long period of time. More movies I've never heard of then any other app I use combined. We just got this to view the Chiefs games. CHIEFS NATION!
Pete Romero,Excellent shows and movies
Tiffany Wade,"Always freezing on ads. I have updated, un-installed and reinstalled the app. Can't even get through 1 show."
Denise,"After going thru the troubleshooting, uninstalling and reinstalling several times the app still does not work right. It constantly buffers. Not happy paying monthly for a service that I can't use! I have other streaming apps with no problems. Still after months, I have lagging only with this streaming app. I kept it because some of my shows can only be viewed here. As soon as they are available elsewhere, I will cancel my subscription. Still takes an hour to get thru a 30 minute episode. Crazy"
Natasha Grapentin,"Difficult to manage account. Also, they removed Blues Clues and You. Very unhappy."
Herry Jooper,All the movies I like!
Steven Klecak,To many ads Not enough new content Might delete app.... if I wanted showtime I'd download that app.
Freedom,Horrible. Doesn't matter how strong the connection it either won't play or continuously stops.
Kyle Veenstra,I open up the app and the Paramount+ logo loads and then nothing happens. It's just the Paramount+ and that's it.
Dean Pitts,"The app is slightly unstable. While watching a video, the video screen will randomly minimize or close for no reason. This happens is a very few to a couple of minutes. There is no update available and I have already restarted my phone (Galaxy S22 Ultra)."
Saiya Shinta,Canceling because they canceled lower decks. The ONLY reason people got this is because of Star Trek and you keep either getting rid of it or canceling it
